from NIST webbook,
Pressure (atm),volume (mL/g)
6,130.323
7,111.538
8,97.4491
9,86.4914
10,77.7252
11,70.553
12,64.5761
13,59.5189
14,55.1841
15,51.4274
16,48.1403
17,45.2399
18,42.6619
19,40.3552
20,38.2793
21,36.401
22,34.6936
23,33.1347
24,31.7057
25,30.3911
26,29.1776
27,28.054
28,27.0107
29,26.0394
30,25.1329
31,24.2849
32,23.4899
33,22.7431
34,22.0403
35,21.3776
36,20.7518
37,20.1599
38,19.5991
39,19.0671
40,18.5618
41,18.0811
42,17.6233
43,17.1869
44,16.7703
45,16.3722
46,15.9915
47,15.627
48,15.2777
49,14.9427
50,14.6212
51,14.3122
52,14.0152
53,13.7294
54,13.4542
55,13.189
56,12.9334
57,12.6867
58,12.4486
59,12.2186
60,11.9962
61,11.7812
62,11.5731
63,11.3717
64,11.1766
65,10.9875
66,10.8042
67,10.6264
68,10.4538
69,10.2863
70,10.1236
71,9.96545
72,9.81176
73,9.66231
